Fahrzeug-ID,Linie,Abfahrt-Datum,Annahme,Status,angem.Pers,bef.Pers,Einstieg_GTFS,Ausstieg_GTFS,abfahrt_minutes,day,depot,trip_id,einstieg_stop_id,einstieg_stop_sequence,ausstieg_stop_id,ausstieg_stop_sequence,trip_sequence_in_line
125,822,2024-08-22,P_JaW,DU,1,1,Kloddram,Hagenow Robert-Stock-Str.,466,thursday,VLP Hagenow,499573,53354,15,592840,40,13
125,822,2024-08-22,P_NCM,DU,1,0,Kloddram,Hagenow Robert-Stock-Str.,466,thursday,VLP Hagenow,499573,53354,15,592840,40,13
124,54,2024-08-22,P_FSi,DU,1,1,Hagenow ZOB,Wittenburg (M) Gewerbegebiet,467,thursday,VLP Hagenow,746243,392321,5,594376,14,10
124,54,2024-08-22,I_AUS,DU,1,1,Hagenow Krankenhaus,Wittenburg (M) Gewerbegebiet,469,thursday,VLP Hagenow,746243,323296,6,594376,14,10
0,822,2024-08-22,P_FSi,A,1,1,Hagenow ZOB,Wittenburg (M) Gewerbegebiet,470,thursday,VLP Hagenow,60612,540455,5,594376,40,14
140,832,2024-08-22,P_NEr,DU,1,1,Vellahn B5,Melkof Dorf,474,thursday,VLP Boizenburg,513398,528070,33,668721,41,11
152,811,2024-08-22,I_ESM,DU,1,1,Eldena (Meckl) Bahnhofstr.,Lenzen (Elbe) Markt,475,thursday,VLP Ludwigslust,204982,293222,13,289959,14,9
0,816,2024-08-22,I_ESM,A,1,1,Marnitz,Parchim Bahnhof,477,thursday,VLP Parchim,1493393,252000,7,124348,27,8
131,821,2024-08-22,P_FSi,DU,1,1,Redefin Belscher Straße,Hagenow Robert-Stock-Str.,478,thursday,VLP Ludwigslust,1204418,556709,34,592840,52,13
131,821,2024-08-22,P_kes,DU,1,1,Warlitz,Pritzier Kita,480,thursday,VLP Ludwigslust,1204418,424930,39,58509,42,13
153,809,2024-08-22,I_ESM,DU,1,1,Raduhn,Parchim Bahnhof,480,thursday,VLP Parchim,1121073,168246,7,124348,22,8
131,821,2024-08-22,P_ap,DU,1,1,Goldenitz,Hagenow ZOB,481,thursday,VLP Ludwigslust,1204418,327888,40,540455,51,13
137,846,2024-08-22,P_SKr,DU,1,1,Rubow,Ventschow Bahnhof,482,thursday,VLP Schwerin,541197,212102,17,106633,21,9
134,806,2024-08-22,P_mmp,DU,1,1,Groß Pankow,Parchim ZOB,483,thursday,VLP Parchim,203659,639917,4,425691,18,7
134,806,2024-08-22,I_AUS,DU,1,0,Groß Pankow,Parchim Juri-Gagarin-Ring,483,thursday,VLP Parchim,203659,639917,4,205739,20,7
0,808,2024-08-22,P_MIv,A,2,2,Bergrade Hof,Parchim ZOB,488,thursday,VLP Parchim,810679,99882,18,425691,30,7
128,807,2024-08-22,I_ESM,DU,1,1,Wulfsahl,Parchim Fr.-W.-Raiffeisenring,488,thursday,VLP Parchim,1316051,179991,17,32601,28,7
138,830,2024-08-22,I_ESM,DU,1,1,Zweedorf b Boizenbg.,Boizenburg (Elbe),491,thursday,VLP Boizenburg,22542,228321,27,649660,51,13
147,54,2024-08-22,I_ESM,DU,1,1,Wittenburg (Meckl) Helmer Weg,Zarrentin a Schaals. Bahnhofst,492,thursday,VLP Hagenow,746243,267645,15,47525,27,10
138,830,2024-08-22,I_AUS,DU,1,1,Schwanheide Bahnhof,Boizenburg (Elbe),492,thursday,VLP Boizenburg,22542,264609,30,649660,51,13
128,807,2024-08-22,P_SöO,DU,1,1,Groß Godems,Parchim Bahnhof,494,thursday,VLP Parchim,1316051,212949,19,124348,30,7
0,840,2024-08-22,P_ViB,A,1,1,Stralendorf b Schwerin,Schwerin Süd (NVS),500,thursday,VLP Schwerin,1282243,540576,25,657291,54,8
123,822,2024-08-22,I_ESM,DU,1,1,Lehsen,Hagenow ZOB,501,thursday,VLP Hagenow,313727,226486,3,540455,37,15
0,831,2024-08-22,P_NiH,A,1,1,Vorderhagen,Boizenburg (Elbe),503,thursday,VLP Boizenburg,356700,468083,14,649660,24,12
138,830,2024-08-22,I_ESM,DU,1,1,Bickhusen,Boizenburg Markt,504,thursday,VLP Boizenburg,22542,152056,44,614787,50,13
0,803,2024-08-22,P_dip,A,1,1,Wendisch Waren,Goldberg (Meckl) Bahnhof,504,thursday,VLP Parchim,1017827,216462,19,155160,21,10
127,839,2024-08-22,I_ESM,DU,1,1,Prestin,Crivitz Bahnhof,510,thursday,VLP Sternberg,678506,149237,9,186789,23,9
158,849,2024-08-22,I_AUS,DU,1,1,Sülten (b Sternberg),Sternberg (Meckl) ZOB,513,thursday,VLP Sternberg,652921,651097,9,641458,16,9
147,824,2024-08-22,P_jk,DU,2,2,Lassahn,Zarrentin a Schaals. Bahnhofst,517,thursday,VLP Hagenow,1254020,645661,18,47525,27,13
0,841,2024-08-22,P_Bur,A,1,1,Tramm (b Schwerin) Kirche,Crivitz Große Straße,518,thursday,VLP Schwerin,673571,97922,40,143142,46,8
132,814,2024-08-22,P_BKa,DU,1,1,Dreenkrögen,Ludwigslust Alexandrinenplatz,520,thursday,VLP Ludwigslust,751112,656688,22,537253,33,10
146,821,2024-08-22,P_ViB,DU,1,1,Lübtheen Am Jessen. Weg,Hagenow ZOB,520,thursday,VLP Ludwigslust,426468,605423,22,540455,51,15
171,804,2024-08-22,P_StH,DU,5,5,Welzin (b Lübz),Lübz ZOB,522,thursday,VLP Parchim,347448,638858,32,593769,45,11
0,808,2024-08-22,P_jk,A,1,1,Zölkow Schüler,Parchim Bahnhof,524,thursday,VLP Parchim,1348176,53843,6,124348,33,9
125,822,2024-08-22,I_ESM,DU,1,1,Hagenow Land Bahnhof,Wulfskuhl,525,thursday,VLP Hagenow,1304828,364953,1,361564,37,16
129,806,2024-08-22,P_mmp,DU,1,0,Parchim ZOB,Groß Pankow,525,thursday,VLP Parchim,196411,425691,4,639917,18,10
0,813,2024-08-22,P_KHo,A,1,1,Ludwigslust Parkstraße,Groß Krams,530,thursday,VLP Ludwigslust,698609,146178,5,285215,23,11
0,811,2024-08-22,I_ESM,A,1,1,Dömitz ZOB,Lenzen (Elbe) Markt,530,thursday,VLP Ludwigslust,987207,567144,1,289959,32,12
128,816,2024-08-22,P_NCM,DU,1,1,Suckow Mentiner Str.,Parchim Bahnhof,531,thursday,VLP Parchim,1398794,165646,6,124348,27,10
128,816,2024-08-22,P_NCM,DU,1,1,Suckow Mentiner Str.,Parchim Bahnhof,531,thursday,VLP Parchim,1398794,165646,6,124348,27,10
138,830,2024-08-22,I_AUS,DU,1,1,Zweedorf b Boizenbg.,Zarrentin a Schaals. Bahnhofst,532,thursday,VLP Boizenburg,988977,228321,26,47525,51,14
128,816,2024-08-22,P_ViB,DU,1,1,Marnitz,Parchim Bahnhof,534,thursday,VLP Parchim,1398794,252000,7,124348,27,10
124,823,2024-08-22,I_ESM,DU,1,1,Gammelin,Hagenow ZOB,534,thursday,VLP Hagenow,734170,653304,42,597045,51,15
128,816,2024-08-22,P_SSt,DU,2,0,Marnitz,Parchim Bahnhof,534,thursday,VLP Parchim,1398794,252000,7,124348,27,10
128,816,2024-08-22,P_SSt,DU,1,0,Marnitz,Parchim Bahnhof,534,thursday,VLP Parchim,1398794,252000,7,124348,27,10
128,816,2024-08-22,P_SSt,DU,0,0,Marnitz,Parchim Bahnhof,534,thursday,VLP Parchim,1398794,252000,7,124348,27,10
173,813,2024-08-22,P_IID,DU,1,1,Kummer b Ludwig. Dorf (Schule),Ludwigslust Alexandrinenplatz,536,thursday,VLP Ludwigslust,1032323,181782,18,537253,33,10
0,810,2024-08-22,P_rre,A,1,1,Muchow Neustädter Str.,Balow Schule,539,thursday,VLP Ludwigslust,7472,592135,18,487528,30,10
153,810,2024-08-22,P_HiL,DU,1,1,Möllenbeck (LWL) Grabower Ch.,Grabow (Meckl) Binnung,540,thursday,VLP Ludwigslust,813311,591839,13,325288,33,9
138,830,2024-08-22,I_ESM,DU,1,0,Nieklitz,Zarrentin a Schaals. Markt,540,thursday,VLP Boizenburg,988977,147641,35,463815,52,14
138,830,2024-08-22,P_sob,DU,1,0,Nieklitz,Zarrentin a Schaals. Markt,540,thursday,VLP Boizenburg,988977,147641,35,463815,52,14
147,824,2024-08-22,P_NCM,DU,1,1,Zarrentin a Schaals. Markt,Döbbersen,543,thursday,VLP Hagenow,618383,463815,1,39395,18,14
139,830,2024-08-22,I_AUS,DU,1,1,Granzin b Boizenburg,Boizenburg Markt,545,thursday,VLP Boizenburg,481595,479549,21,614787,50,15
